排名,大学名称
1,清华大学
2,北京大学
3,浙江大学
4,上海交通大学
5,复旦大学
6,南京大学
7,中国科学技术大学
8,华中科技大学
9,武汉大学
10,西安交通大学
11,中山大学
12,北京航空航天大学
13,东南大学
14,北京理工大学
15,四川大学
16,哈尔滨工业大学
17,同济大学
18,中国人民大学
19,北京师范大学
20,天津大学
21,南开大学
22,山东大学
23,西北工业大学
24,厦门大学
25,中南大学
26,吉林大学
27,中国农业大学
28,大连理工大学
29,华东师范大学
30,华南理工大学
31,电子科技大学
32,湖南大学
33,重庆大学
34,南方科技大学
35,北京科技大学
36,南京航空航天大学
37,南京理工大学
38,兰州大学
39,东北大学
40,西安电子科技大学
41,北京交通大学
42,上海科技大学
43,苏州大学
44,华东理工大学
45,哈尔滨工程大学
46,东北师范大学
47,华中农业大学
48,中国石油大学（北京）
49,南京农业大学
50,郑州大学
51,暨南大学
52,南京师范大学
53,武汉理工大学
54,中国矿业大学
55,江南大学
56,上海大学
57,中国海洋大学
58,华中师范大学
59,西南交通大学
60,中国石油大学（华东）
61,中国地质大学（武汉）
62,陕西师范大学
63,北京邮电大学
64,浙江工业大学
65,河海大学
66,北京工业大学
67,西北大学
68,北京化工大学
69,西南大学
70,云南大学
71,南昌大学
72,深圳大学
73,西北农林科技大学
74,中国地质大学（北京）
75,华北电力大学
76,东华大学
77,中国矿业大学（北京）
78,宁波大学
79,华南师范大学
80,江苏大学
81,福州大学
82,扬州大学
83,合肥工业大学
84,北京林业大学
85,南京邮电大学
86,湖南师范大学
87,福建师范大学
88,浙江师范大学
89,南京工业大学
90,广西大学
91,首都师范大学
92,长安大学
93,南京林业大学
94,华南农业大学
95,安徽大学
96,贵州大学
97,杭州电子科技大学
98,广州大学
99,河南大学
100,广东工业大学
101,山西大学
102,湘潭大学
103,南京信息工程大学
104,海南大学
105,山东师范大学
106,浙江理工大学
107,上海理工大学
108,太原理工大学
109,河北工业大学
110,青岛大学
111,大连海事大学
112,燕山大学
113,东北林业大学
114,西安建筑科技大学
115,昆明理工大学
116,内蒙古大学
117,江西师范大学
118,西安理工大学
119,上海师范大学
120,杭州师范大学
121,东北农业大学
122,武汉科技大学
123,山东科技大学
124,陕西科技大学
125,福建农林大学
126,长沙理工大学
127,河北大学
128,宁夏大学
129,新疆大学
130,西南石油大学
131,辽宁大学
132,温州大学
133,湖北大学
134,四川农业大学
135,长春理工大学
136,石河子大学
137,中国计量大学
138,天津工业大学
139,安徽师范大学
140,江苏科技大学
141,天津师范大学
142,齐鲁工业大学
143,江苏师范大学
144,山东农业大学
145,上海海洋大学
146,湖北工业大学
147,浙江农林大学
148,河南农业大学
149,常州大学
150,沈阳农业大学
151,河南师范大学
152,重庆邮电大学
153,安徽农业大学
154,成都理工大学
155,广西师范大学
156,黑龙江大学
157,北京建筑大学
158,武汉工程大学
159,南通大学
160,河北师范大学
161,天津科技大学
162,青岛科技大学
163,华侨大学
164,河南科技大学
165,延边大学
166,汕头大学
167,武汉纺织大学
168,江西理工大学
169,西安科技大学
170,集美大学
171,西北师范大学
172,湖南农业大学
173,青海大学
174,辽宁师范大学
175,上海海事大学
176,吉林农业大学
177,曲阜师范大学
178,三峡大学
179,华东交通大学
180,济南大学
181,中北大学
182,南昌航空大学
183,天津理工大学
184,湖南科技大学
185,安徽工业大学
186,长江大学
187,兰州理工大学
188,重庆交通大学
189,沈阳工业大学
190,烟台大学
191,山东理工大学
192,安徽理工大学
193,西藏大学
194,上海电力大学
195,河北农业大学
196,北方工业大学
197,西安邮电大学
198,北京电子科技学院
199,四川师范大学
200,云南师范大学
201,南华大学
202,江西农业大学
203,河南理工大学
204,苏州科技大学
205,内蒙古农业大学
206,北京信息科技大学
207,兰州交通大学
208,河南工业大学
209,青岛理工大学
210,大连工业大学
211,国际关系学院
212,沈阳航空航天大学
213,沈阳建筑大学
214,重庆师范大学
215,青岛农业大学
216,山西农业大学
217,西安工业大学
